"Amblycerus","Amblycerina","Amblycerini","Thunberg","1815"
"Spermophagus","Spermophagina","Amblycerini","Schoenherr","1833"
"Zabrotes","Spermophagina","Amblycerini","Horn","1885"
"Abutiloneus","Acanthoscelidina","Bruchini","Bridwell","1946"
"Acanthoscelides","Acanthoscelidina","Bruchini","Schilsky","1905"
"Algarobius","Acanthoscelidina","Bruchini","Bridwell","1946"
"Althaeus","Acanthoscelidina","Bruchini","Bridwell","1946"
"Bonaerius","Acanthoscelidina","Bruchini","Bridwell","1952"
"Caryedes","Acanthoscelidina","Bruchini","Hummel","1827"
"Cosmobruchus","Acanthoscelidina","Bruchini","Bridwell","1931"
"Ctenocolum","Acanthoscelidina","Bruchini","Kingsolver and Whitehead ","1974"
"Dahlibruchus","Acanthoscelidina","Bruchini","Bridwell","1931"
"Gibbobruchus","Acanthoscelidina","Bruchini","Pic","1913"
"Lithraeus","Acanthoscelidina","Bruchini","Bridwell","1952"
"Margaritabruchus","Acanthoscelidina","Bruchini","Romero and Johnson","2001"
"Meganeltumius","Acanthoscelidina","Bruchini","Romero and Johnson","2003"
"Meibomeus","Acanthoscelidina","Bruchini","Bridwell","1946"
"Merobruchus","Acanthoscelidina","Bruchini","Bridwell","1946"
"Mimosestes","Acanthoscelidina","Bruchini","Bridwell","1946"
"Neltumius","Acanthoscelidina","Bruchini","Bridwell","1946"
"Palpibruchus","Acanthoscelidina","Bruchini","Borowiec","1987"
"Pectinibruchus","Acanthoscelidina","Bruchini","Kingsolver","1967"
"Penthobruchus","Acanthoscelidina","Bruchini","Kingsolver","1973"
"Pseudopachymerina","Acanthoscelidina","Bruchini","Zacher","1952"
"Pygiopachymerus","Acanthoscelidina","Bruchini","Pic","1911"
"Rhipibruchus","Acanthoscelidina","Bruchini","Bridwell","1932"
"Scutobruchus","Acanthoscelidina","Bruchini","Kingsolver","1968"
"Sennius","Acanthoscelidina","Bruchini","Bridwell","1946"
"Spatulobruchus","Acanthoscelidina","Bruchini","Borowiec","1987"
"Stator","Acanthoscelidina","Bruchini","Bridwell","1946"
"Stylantheus","Acanthoscelidina","Bruchini","Bridwell","1946"
"Acanthobruchidius","Bruchidiina","Bruchini","Borowiec","1980"
"Borowiecius","Bruchidiina","Bruchini","Anton","1994"
"Bruchidius","Bruchidiina","Bruchini","Schilsky","1905"
"Callosobruchus","Bruchidiina","Bruchini","Pic","1902"
"Conicobruchus","Bruchidiina","Bruchini","Decelle","1951"
"Decellebruchus","Bruchidiina","Bruchini","Borowiec","1987"
"Horridobruchus","Bruchidiina","Bruchini","Borowiec","1984"
"Kingsolverius","Bruchidiina","Bruchini","Borowiec","1987"
"Megabruchidius","Bruchidiina","Bruchini","Borowiec","1984"
"Paleoacanthoscelides","Bruchidiina","Bruchini","Borowiec","1985"
"Parasulcobruchus","Bruchidiina","Bruchini","Anton","1999"
"Pygobruchidius","Bruchidiina","Bruchini","Pic","1951"
"Salviabruchus","Bruchidiina","Bruchini","Decelle","1982"
"Specularius","Bruchidiina","Bruchini","Bridwell","1938"
"Sulcobruchus","Bruchidiina","Bruchini","Chujo","1937"
"Bruchus","Bruchina","Bruchini","Linnaeus","1767"
"Megacerus","Megacerina","Bruchini","Fåhraeus","1839"
"Eubaptus","Eubaptina","Eubaptini","Lacordaire","1845"
"Kytorhinus","Kytorhinina","Kytorhinini","Fischer","1809"
"Afroredon","Caryedontina","Pachymerini","Decelle","1965"
"Caryedon","Caryedontina","Pachymerini","Schoenherr","1823"
"Caryotrypes","Caryedontina","Pachymerini","Decelle","1968"
"Exoctenophorus","Caryedontina","Pachymerini","Decelle","1968"
"Mimocaryedon","Caryedontina","Pachymerini","Decelle","1968"
"Caryopemon","Caryopemina","Pachymerini","Jekel","1855"
"Diegobruchus","Caryopemina","Pachymerini","Pic","1913"
"Caryoborus","Pachymerina","Pachymerini","Schoenherr","1833"
"Caryobruchus","Pachymerina","Pachymerini","Bridwell","1929"
"Oligobruchus","Pachymerina","Pachymerini","Kingsolver","1965"
"Pachymerus","Pachymerina","Pachymerini","Thunberg","1805"
"Speciomerus","Pachymerina","Pachymerini","Nilsson","1993"
"Rhaebus","Rhaebina","Rhaebini","Fischer von Waldheim","1824"
"Neobruchidius","Acanthoscelidina","Bruchini","Johnson and Romero","2006"
"Mesopachymerus","Pachymerina","Pachymerini","Poinar","2005"
"Paleobruchidius","Bruchidiina","Bruchini","Egorov","1989"
"Electrocaryedon","Caryedontina","Pachymerini","Legalov","2016"
